1.0,1.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
1.0,1.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.11,0.11,1.0,0.11,0.43,0.11,0.43,0.11,0.43,0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25
0.11,0.11,0.11,1.0,0.11,0.67,0.11,0.67,0.11,0.67,0.11,0.11,0.11,0.25,0.11,0.11,0.11,0.11
0.11,0.11,0.43,0.11,1.0,0.11,1.0,0.11,0.67,0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25
0.11,0.11,0.11,0.67,0.11,1.0,0.11,0.67,0.11,0.67,0.11,0.11,0.25,0.25,0.25,0.11,0.11,0.11
0.11,0.11,0.43,0.11,1.0,0.11,1.0,0.11,0.67,0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25
0.11,0.11,0.11,0.67,0.11,0.67,0.11,1.0,0.11,0.43,0.11,0.11,0.25,0.25,0.25,0.11,0.11,0.11
0.11,0.11,0.43,0.11,0.67,0.11,0.67,0.11,1.0,0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25
0.11,0.11,0.11,0.67,0.11,0.67,0.11,0.43,0.11,1.0,0.11,0.11,0.11,0.25,0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.0,0.11,0.67,0.11,0.67,0.11,0.67,0.25
0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.11,1.0,0.11,0.67,0.11,0.43,0.11,0.43
0.11,0.11,0.11,0.11,0.11,0.25,0.11,0.25,0.11,0.11,0.67,0.11,1.0,0.11,1.0,0.11,0.43,0.25
0.11,0.11,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.11,0.67,0.11,1.0,0.11,0.43,0.11,0.43
0.11,0.11,0.11,0.11,0.11,0.25,0.11,0.25,0.11,0.11,0.67,0.11,1.0,0.11,1.0,0.11,0.43,0.25
0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.11,0.43,0.11,0.43,0.11,1.0,0.11,0.67
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.67,0.11,0.43,0.11,0.43,0.11,1.0,0.25
0.11,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25,0.11,0.25,0.43,0.25,0.43,0.25,0.67,0.25,1.0
